127.0.0.1 - - [26/Mar/2022:21:10:02 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:14 +0300] "GET /Expense_Management/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:14 +0300] "GET /Expense_Management/html/libcostitem.js HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:14 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:22 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:22 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:22 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:22 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:22 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:24 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:25 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:25 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:26 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:41 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:45 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:45 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:55 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:55 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:55 +0300] "GET /Expense_Management/html/libcostitem.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:55 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:55 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:11:56 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:02 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:09 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:09 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:09 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:33 +0300] "POST /Expense_Management/router/api/add HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:41 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:41 +0300] "GET /Expense_Management/html/libcostitem.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:41 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:41 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:41 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:12:42 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:27:22 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:30:09 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:30:09 +0300] "GET /Expense_Management/html/libcostitem.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:30:09 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 200 10971
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:30:09 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:30:09 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 6
