127.0.0.1 - - [26/Apr/2022:00:32:47 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:32:47 +0300] "GET /Expense_Management/WEB-INF/classes/il/ac/hit/expensemanagement/controller/ApiController.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:32:47 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:23 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:23 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 200 16116
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:24 +0300] "GET /Expense_Management/html/logo.png HTTP/1.1" 200 286674
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:25 +0300] "GET /Expense_Management/html/money.png HTTP/1.1" 200 48383
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:26 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:27 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:34 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:34 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:37 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:33:37 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:55 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:55 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:55 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:55 +0300] "GET /Expense_Management/html/money.png HTTP/1.1" 200 48383
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:56 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:49:56 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:07 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:07 +0300] "GET /Expense_Management/html/lo1go.png HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:07 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:07 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:42 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:42 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:42 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:50:48 +0300] "GET /Expense_Management/WEB-INF/classes/il/ac/hit/expensemanagement/controller/ApiController.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:11 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:11 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:11 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:35 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:35 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:00:51:35 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:06 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:06 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:06 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:11 +0300] "GET /Expense_Management/html/report.html HTTP/1.1" 200 4780
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:11 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:10:17 +0300] "POST /Expense_Management/router/api/report HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:04 +0300] "GET /Expense_Management/html/report.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:04 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:45 +0300] "GET /Expense_Management/html/report.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:45 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:48 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:48 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
