127.0.0.1 - - [02/May/2022:00:48:52 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "GET /Expense_Management/html/pictures/main.png HTTP/1.1" 200 482951
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:02:09:04 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:20 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:21 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:21 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:21 +0300] "GET /Expense_Management/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:28 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:28 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:28 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:34 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 200 3919
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:34 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:34 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:38 +0300] "GET /Expense_Management/html/report.html HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:38 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:43 +0300] "POST /Expense_Management/router/api/report HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [02/May/2022:02:52:52 +0300] "POST /Expense_Management/router/api/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/May/2022:16:52:00 +0300] "GET /Expense_Management/html/register.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [02/May/2022:16:52:00 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:16:52:07 +0300] "GET /Expense_Management/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:53:22 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:17:53:22 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [02/May/2022:17:53:23 +0300] "GET /Expense_Management/html/pictures/main.png HTTP/1.1" 200 482951
0:0:0:0:0:0:0:1 - - [02/May/2022:17:53:23 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:17:53:23 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:35 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:35 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:35 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:35 +0300] "GET /Expense_Management/html/pictures/logo.png HTTP/1.1" 200 48383
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:17:54:36 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
